combined_shot_type,period,shot_distance,shot_made_flag,opponent,shot_type,game_date
Jump Shot,4,14,0,DAL,2PT Field Goal,11/28/08
Jump Shot,4,8,1,DAL,2PT Field Goal,11/28/08
Layup,4,0,1,DAL,2PT Field Goal,11/28/08
Jump Shot,4,18,1,DAL,2PT Field Goal,11/28/08
Layup,1,0,0,TOR,2PT Field Goal,11/30/08
Jump Shot,1,17,1,TOR,2PT Field Goal,11/30/08
Jump Shot,2,24,0,TOR,3PT Field Goal,11/30/08
Dunk,2,0,1,TOR,2PT Field Goal,11/30/08
Jump Shot,2,21,1,TOR,2PT Field Goal,11/30/08
Jump Shot,2,17,1,TOR,2PT Field Goal,11/30/08
Layup,2,0,1,TOR,2PT Field Goal,11/30/08
Dunk,2,0,1,TOR,2PT Field Goal,11/30/08
Jump Shot,2,20,0,TOR,2PT Field Goal,11/30/08
Jump Shot,3,20,1,TOR,2PT Field Goal,11/30/08
Jump Shot,3,5,0,TOR,2PT Field Goal,11/30/08
Jump Shot,1,15,1,IND,2PT Field Goal,12/2/08
Jump Shot,1,11,0,IND,2PT Field Goal,12/2/08
Jump Shot,1,26,0,IND,3PT Field Goal,12/2/08
Jump Shot,2,7,0,IND,2PT Field Goal,12/2/08
Layup,2,4,1,IND,2PT Field Goal,12/2/08
Layup,2,2,1,IND,2PT Field Goal,12/2/08
Jump Shot,2,5,0,IND,2PT Field Goal,12/2/08
Layup,2,2,1,IND,2PT Field Goal,12/2/08
Layup,2,1,1,IND,2PT Field Goal,12/2/08
Jump Shot,3,11,1,IND,2PT Field Goal,12/2/08
Jump Shot,3,16,1,IND,2PT Field Goal,12/2/08
Jump Shot,3,24,0,IND,3PT Field Goal,12/2/08
Jump Shot,3,11,1,IND,2PT Field Goal,12/2/08
Jump Shot,3,26,0,IND,3PT Field Goal,12/2/08
Jump Shot,4,4,0,IND,2PT Field Goal,12/2/08
Jump Shot,4,21,1,IND,2PT Field Goal,12/2/08
Jump Shot,1,20,0,PHI,2PT Field Goal,12/3/08
Jump Shot,1,15,1,PHI,2PT Field Goal,12/3/08
Jump Shot,1,4,1,PHI,2PT Field Goal,12/3/08
Jump Shot,1,18,1,PHI,2PT Field Goal,12/3/08
Jump Shot,1,14,1,PHI,2PT Field Goal,12/3/08
Jump Shot,2,4,1,PHI,2PT Field Goal,12/3/08
Jump Shot,2,18,1,PHI,2PT Field Goal,12/3/08
Jump Shot,2,23,0,PHI,3PT Field Goal,12/3/08
Jump Shot,3,19,0,PHI,2PT Field Goal,12/3/08
Layup,3,0,0,PHI,2PT Field Goal,12/3/08
Jump Shot,3,23,1,PHI,3PT Field Goal,12/3/08
Layup,4,0,1,PHI,2PT Field Goal,12/3/08
Jump Shot,4,17,0,PHI,2PT Field Goal,12/3/08
Layup,4,0,1,PHI,2PT Field Goal,12/3/08
Jump Shot,4,21,1,PHI,2PT Field Goal,12/3/08
Jump Shot,1,9,0,WAS,2PT Field Goal,12/5/08
Jump Shot,1,7,0,WAS,2PT Field Goal,12/5/08
Dunk,1,0,1,WAS,2PT Field Goal,12/5/08
Jump Shot,2,21,0,WAS,2PT Field Goal,12/5/08
Jump Shot,2,13,0,WAS,2PT Field Goal,12/5/08
Jump Shot,3,20,1,WAS,2PT Field Goal,12/5/08
Jump Shot,3,17,0,WAS,2PT Field Goal,12/5/08
Jump Shot,3,12,0,WAS,2PT Field Goal,12/5/08
Dunk,3,3,1,WAS,2PT Field Goal,12/5/08
Jump Shot,4,19,0,WAS,2PT Field Goal,12/5/08
Jump Shot,4,18,0,WAS,2PT Field Goal,12/5/08
Jump Shot,4,20,0,WAS,2PT Field Goal,12/5/08
Jump Shot,4,19,0,WAS,2PT Field Goal,12/5/08
Bank Shot,4,12,1,WAS,2PT Field Goal,12/5/08
Layup,1,0,0,MIL,2PT Field Goal,12/7/08
Layup,1,0,0,MIL,2PT Field Goal,12/7/08
Jump Shot,1,15,1,MIL,2PT Field Goal,12/7/08
Jump Shot,1,12,1,MIL,2PT Field Goal,12/7/08
Jump Shot,2,7,1,MIL,2PT Field Goal,12/7/08
Layup,2,0,1,MIL,2PT Field Goal,12/7/08
Jump Shot,2,16,0,MIL,2PT Field Goal,12/7/08
Jump Shot,2,15,1,MIL,2PT Field Goal,12/7/08
Dunk,3,0,1,MIL,2PT Field Goal,12/7/08
Jump Shot,4,19,0,MIL,2PT Field Goal,12/7/08
Layup,4,0,0,MIL,2PT Field Goal,12/7/08
Jump Shot,1,8,1,SAC,2PT Field Goal,12/9/08
Jump Shot,1,15,0,SAC,2PT Field Goal,12/9/08
Jump Shot,1,14,0,SAC,2PT Field Goal,12/9/08
Layup,1,0,0,SAC,2PT Field Goal,12/9/08
Jump Shot,1,18,1,SAC,2PT Field Goal,12/9/08
Jump Shot,1,21,0,SAC,2PT Field Goal,12/9/08
Jump Shot,2,20,0,SAC,2PT Field Goal,12/9/08
Jump Shot,2,25,0,SAC,3PT Field Goal,12/9/08
Jump Shot,3,16,0,SAC,2PT Field Goal,12/9/08
Layup,3,0,0,SAC,2PT Field Goal,12/9/08
Layup,3,0,0,SAC,2PT Field Goal,12/9/08
Jump Shot,3,20,1,SAC,2PT Field Goal,12/9/08
Jump Shot,3,25,1,SAC,3PT Field Goal,12/9/08
Jump Shot,3,19,0,SAC,2PT Field Goal,12/9/08
Jump Shot,4,25,0,SAC,3PT Field Goal,12/9/08
Jump Shot,4,27,0,SAC,3PT Field Goal,12/9/08
Jump Shot,4,14,1,SAC,2PT Field Goal,12/9/08
Dunk,4,0,1,SAC,2PT Field Goal,12/9/08
Jump Shot,4,29,1,SAC,3PT Field Goal,12/9/08
Jump Shot,4,25,0,SAC,3PT Field Goal,12/9/08
Jump Shot,1,22,0,PHX,2PT Field Goal,12/10/08
Jump Shot,1,20,0,PHX,2PT Field Goal,12/10/08
Jump Shot,1,19,0,PHX,2PT Field Goal,12/10/08
Jump Shot,1,16,0,PHX,2PT Field Goal,12/10/08
Jump Shot,1,18,1,PHX,2PT Field Goal,12/10/08
Jump Shot,3,25,1,PHX,3PT Field Goal,12/10/08
Jump Shot,3,25,0,PHX,3PT Field Goal,12/10/08
Jump Shot,3,13,1,PHX,2PT Field Goal,12/10/08
Jump Shot,3,25,0,PHX,3PT Field Goal,12/10/08
Jump Shot,4,15,0,PHX,2PT Field Goal,12/10/08
Jump Shot,4,25,1,PHX,3PT Field Goal,12/10/08
Jump Shot,4,18,0,PHX,2PT Field Goal,12/10/08
Jump Shot,1,18,1,SAC,2PT Field Goal,12/12/08
Jump Shot,1,18,0,SAC,2PT Field Goal,12/12/08
Jump Shot,1,27,0,SAC,3PT Field Goal,12/12/08
Jump Shot,1,20,1,SAC,2PT Field Goal,12/12/08
Dunk,1,0,1,SAC,2PT Field Goal,12/12/08
Jump Shot,1,17,1,SAC,2PT Field Goal,12/12/08
Jump Shot,2,26,1,SAC,3PT Field Goal,12/12/08
Jump Shot,2,6,0,SAC,2PT Field Goal,12/12/08
Jump Shot,2,15,0,SAC,2PT Field Goal,12/12/08
Layup,3,0,1,SAC,2PT Field Goal,12/12/08
Jump Shot,3,21,0,SAC,2PT Field Goal,12/12/08
Jump Shot,3,26,1,SAC,3PT Field Goal,12/12/08
Jump Shot,3,25,0,SAC,3PT Field Goal,12/12/08
Jump Shot,3,17,1,SAC,2PT Field Goal,12/12/08
Jump Shot,4,5,0,SAC,2PT Field Goal,12/12/08
Jump Shot,4,12,0,SAC,2PT Field Goal,12/12/08
Bank Shot,4,9,1,SAC,2PT Field Goal,12/12/08
Dunk,4,0,1,SAC,2PT Field Goal,12/12/08
Jump Shot,1,20,0,MIN,2PT Field Goal,12/14/08
Jump Shot,1,22,1,MIN,2PT Field Goal,12/14/08
Jump Shot,1,14,0,MIN,2PT Field Goal,12/14/08
Jump Shot,1,19,0,MIN,2PT Field Goal,12/14/08
Layup,1,0,0,MIN,2PT Field Goal,12/14/08
Jump Shot,2,18,1,MIN,2PT Field Goal,12/14/08
Jump Shot,2,27,0,MIN,3PT Field Goal,12/14/08
Jump Shot,3,16,1,MIN,2PT Field Goal,12/14/08
Jump Shot,3,21,0,MIN,2PT Field Goal,12/14/08
Jump Shot,3,25,1,MIN,3PT Field Goal,12/14/08
Jump Shot,3,17,0,MIN,2PT Field Goal,12/14/08
Jump Shot,3,21,0,MIN,2PT Field Goal,12/14/08
Layup,4,0,0,MIN,2PT Field Goal,12/14/08
Jump Shot,4,23,0,MIN,3PT Field Goal,12/14/08
Jump Shot,4,16,0,MIN,2PT Field Goal,12/14/08
Layup,4,0,1,MIN,2PT Field Goal,12/14/08
Jump Shot,4,10,1,MIN,2PT Field Goal,12/14/08
Jump Shot,4,26,0,MIN,3PT Field Goal,12/14/08
Jump Shot,4,28,0,MIN,3PT Field Goal,12/14/08
Jump Shot,1,27,0,NYK,3PT Field Goal,12/16/08
Jump Shot,1,8,1,NYK,2PT Field Goal,12/16/08
Jump Shot,1,15,1,NYK,2PT Field Goal,12/16/08
Layup,1,0,1,NYK,2PT Field Goal,12/16/08
Jump Shot,1,4,0,NYK,2PT Field Goal,12/16/08
Layup,2,0,0,NYK,2PT Field Goal,12/16/08
Jump Shot,2,19,0,NYK,2PT Field Goal,12/16/08
Bank Shot,2,6,1,NYK,2PT Field Goal,12/16/08
Jump Shot,3,21,1,NYK,2PT Field Goal,12/16/08
Jump Shot,3,16,1,NYK,2PT Field Goal,12/16/08
Jump Shot,3,16,1,NYK,2PT Field Goal,12/16/08
Jump Shot,3,8,0,NYK,2PT Field Goal,12/16/08
Jump Shot,3,7,1,NYK,2PT Field Goal,12/16/08
Jump Shot,3,17,0,NYK,2PT Field Goal,12/16/08
Jump Shot,4,17,1,NYK,2PT Field Goal,12/16/08
Dunk,4,0,1,NYK,2PT Field Goal,12/16/08
Jump Shot,4,23,1,NYK,3PT Field Goal,12/16/08
Jump Shot,4,7,0,NYK,2PT Field Goal,12/16/08
Jump Shot,4,18,1,NYK,2PT Field Goal,12/16/08
Layup,1,0,1,MIA,2PT Field Goal,12/19/08
Jump Shot,1,20,0,MIA,2PT Field Goal,12/19/08
Layup,1,0,1,MIA,2PT Field Goal,12/19/08
Layup,2,0,1,MIA,2PT Field Goal,12/19/08
Jump Shot,2,19,1,MIA,2PT Field Goal,12/19/08
Layup,2,0,0,MIA,2PT Field Goal,12/19/08
Jump Shot,2,25,1,MIA,3PT Field Goal,12/19/08
Jump Shot,2,20,0,MIA,2PT Field Goal,12/19/08
Jump Shot,2,24,0,MIA,3PT Field Goal,12/19/08
Layup,2,0,1,MIA,2PT Field Goal,12/19/08
Jump Shot,3,22,0,MIA,2PT Field Goal,12/19/08
Dunk,3,0,0,MIA,2PT Field Goal,12/19/08
Jump Shot,3,15,1,MIA,2PT Field Goal,12/19/08
Layup,3,0,1,MIA,2PT Field Goal,12/19/08
Jump Shot,3,15,0,MIA,2PT Field Goal,12/19/08
Jump Shot,3,7,1,MIA,2PT Field Goal,12/19/08
Jump Shot,3,25,0,MIA,3PT Field Goal,12/19/08
Jump Shot,4,19,0,MIA,2PT Field Goal,12/19/08
Jump Shot,1,20,1,ORL,2PT Field Goal,12/20/08
Jump Shot,1,20,0,ORL,2PT Field Goal,12/20/08
Bank Shot,1,14,1,ORL,2PT Field Goal,12/20/08
Jump Shot,1,19,0,ORL,2PT Field Goal,12/20/08
Jump Shot,1,9,0,ORL,2PT Field Goal,12/20/08
Jump Shot,1,12,1,ORL,2PT Field Goal,12/20/08
Jump Shot,1,8,0,ORL,2PT Field Goal,12/20/08
Layup,1,0,1,ORL,2PT Field Goal,12/20/08
Jump Shot,1,17,0,ORL,2PT Field Goal,12/20/08
Layup,2,0,1,ORL,2PT Field Goal,12/20/08
Jump Shot,2,18,1,ORL,2PT Field Goal,12/20/08
Jump Shot,2,16,1,ORL,2PT Field Goal,12/20/08
Jump Shot,2,14,0,ORL,2PT Field Goal,12/20/08
Jump Shot,2,20,1,ORL,2PT Field Goal,12/20/08
Jump Shot,2,15,1,ORL,2PT Field Goal,12/20/08
Jump Shot,2,15,0,ORL,2PT Field Goal,12/20/08
Jump Shot,3,16,0,ORL,2PT Field Goal,12/20/08
Jump Shot,3,8,1,ORL,2PT Field Goal,12/20/08
Jump Shot,3,24,1,ORL,3PT Field Goal,12/20/08
Jump Shot,3,26,1,ORL,3PT Field Goal,12/20/08
Jump Shot,3,17,0,ORL,2PT Field Goal,12/20/08
Jump Shot,4,15,0,ORL,2PT Field Goal,12/20/08
Jump Shot,4,9,0,ORL,2PT Field Goal,12/20/08
Jump Shot,4,10,0,ORL,2PT Field Goal,12/20/08
Layup,4,0,1,ORL,2PT Field Goal,12/20/08
Jump Shot,4,19,0,ORL,2PT Field Goal,12/20/08
Jump Shot,4,30,0,ORL,3PT Field Goal,12/20/08
Jump Shot,1,6,0,MEM,2PT Field Goal,12/22/08
Jump Shot,1,6,0,MEM,2PT Field Goal,12/22/08
Jump Shot,1,15,1,MEM,2PT Field Goal,12/22/08
Layup,1,0,1,MEM,2PT Field Goal,12/22/08
Jump Shot,1,25,0,MEM,3PT Field Goal,12/22/08
Layup,1,0,1,MEM,2PT Field Goal,12/22/08
Layup,2,0,0,MEM,2PT Field Goal,12/22/08
Jump Shot,2,14,1,MEM,2PT Field Goal,12/22/08
Jump Shot,2,26,1,MEM,3PT Field Goal,12/22/08
Jump Shot,2,26,0,MEM,3PT Field Goal,12/22/08
Jump Shot,2,10,0,MEM,2PT Field Goal,12/22/08
Jump Shot,3,6,1,MEM,2PT Field Goal,12/22/08
Jump Shot,3,20,0,MEM,2PT Field Goal,12/22/08
Bank Shot,3,9,0,MEM,2PT Field Goal,12/22/08
